year,metro,city,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10,면적,필지,h_m
2019.0,강원,양양군,태양광,8191.13,50.0,27726.0,1384.0,1960.0,2362.0,2431.0,3599.0,5128.0,5131.0,3714.0,1692.0,311.0,14.0,629863736.8000001,114090,0.04401904472364283
2020.0,강원,양양군,태양광,10942.0,62.0,27946.0,1350.0,1845.0,2411.0,2340.0,3524.0,5101.0,5539.0,3648.0,1850.0,321.0,17.0,629863736.8000001,114090,0.044368326619307605
2021.0,강원,양양군,태양광,11160.66,68.0,27913.0,1269.0,1770.0,2327.0,2244.0,3444.0,4938.0,5943.0,3632.0,2003.0,331.0,12.0,629863736.8000001,114090,0.04431593433495789
2012.0,강원,영월군,태양광,1205.0,3.0,40155.0,2481.0,4182.0,3764.0,4200.0,6034.0,7548.0,5363.0,4900.0,1461.0,197.0,25.0,1127638642.3,139774,0.03560981195012742
2013.0,강원,영월군,태양광,1238.0,5.0,40150.0,2403.0,4050.0,3670.0,4024.0,6014.0,7685.0,5497.0,5004.0,1563.0,212.0,28.0,1127638642.3,139774,0.03560537790555637
2014.0,강원,영월군,태양광,6646.0,17.0,40191.0,2241.0,4015.0,3647.0,3761.0,5967.0,7769.0,5742.0,5073.0,1712.0,233.0,31.0,1127638642.3,139774,0.03564173707103901
2015.0,강원,영월군,태양광,8098.7,33.0,40216.0,2152.0,3779.0,3750.0,3618.0,5840.0,7853.0,6066.0,5036.0,1830.0,255.0,37.0,1127638642.3,139774,0.03566390729389427
2016.0,강원,영월군,태양광,6323.7,60.0,40073.0,2081.0,3600.0,3714.0,3445.0,5643.0,7882.0,6438.0,4992.0,1972.0,263.0,43.0,1127638642.3,139774,0.03553709361916215
2017.0,강원,영월군,태양광,9722.0,84.0,40067.0,1981.0,3429.0,3724.0,3306.0,5496.0,7840.0,6802.0,5072.0,2092.0,283.0,42.0,1127638642.3,139774,0.035531772765676886
2018.0,강원,영월군,태양광,17468.9,106.0,39730.0,1873.0,3260.0,3646.0,3176.0,5191.0,7730.0,7208.0,5016.0,2300.0,289.0,41.0,1127638642.3,139774,0.03523291816158791
2019.0,강원,영월군,태양광,20762.26,165.0,39127.0,1779.0,3032.0,3440.0,3009.0,4882.0,7604.0,7580.0,4924.0,2506.0,324.0,47.0,1127638642.3,139774,0.03469817238631891
2020.0,강원,영월군,태양광,29391.0,222.0,38662.0,1677.0,2869.0,3311.0,2780.0,4614.0,7364.0,8091.0,4834.0,2715.0,355.0,52.0,1127638642.3,139774,0.03428580624121097
2021.0,강원,영월군,태양광,39143.16,303.0,37904.0,1549.0,2748.0,3136.0,2620.0,4322.0,7097.0,8503.0,4688.0,2858.0,370.0,13.0,1127638642.3,139774,0.033613605084239315
2012.0,강원,원주시,태양광,613.75,14.0,323885.0,31393.0,45063.0,40196.0,49057.0,58006.0,49756.0,23778.0,19277.0,6476.0,822.0,61.0,867973342.5000001,255627,0.3731508609090722
2013.0,강원,원주시,태양광,1712.21,28.0,324837.0,30629.0,43629.0,40020.0,47572.0,58603.0,52094.0,24530.0,19873.0,6901.0,925.0,61.0,867973342.5000001,255627,0.37424766878713206
2014.0,강원,원주시,태양광,3457.71,43.0,327292.0,30382.0,42306.0,40384.0,46416.0,59042.0,53802.0,26166.0,20237.0,7489.0,1003.0,65.0,867973342.5000001,255627,0.37707609666595254
2015.0,강원,원주시,태양광,4298.07,58.0,332995.0,30771.0,41005.0,41380.0,46452.0,59232.0,55645.0,28592.0,20612.0,8132.0,1105.0,69.0,867973342.5000001,255627,0.38364657495227156
2016.0,강원,원주시,바이오,980.0,1.0,337979.0,30769.0,39711.0,42547.0,46372.0,59019.0,57365.0,31157.0,20802.0,8931.0,1220.0,86.0,867973342.5000001,255627,0.38938868678446764
2016.0,강원,원주시,태양광,11092.07,111.0,337979.0,30769.0,39711.0,42547.0,46372.0,59019.0,57365.0,31157.0,20802.0,8931.0,1220.0,86.0,867973342.5000001,255627,0.38938868678446764
2017.0,강원,원주시,바이오,980.0,1.0,341337.0,29848.0,38740.0,43863.0,45587.0,58914.0,58054.0,33965.0,21355.0,9611.0,1307.0,93.0,867973342.5000001,255627,0.3932574691946832
2017.0,강원,원주시,태양광,22938.24,195.0,341337.0,29848.0,38740.0,43863.0,45587.0,58914.0,58054.0,33965.0,21355.0,9611.0,1307.0,93.0,867973342.5000001,255627,0.3932574691946832
2018.0,강원,원주시,바이오,1870.0,2.0,344070.0,29037.0,37615.0,44367.0,45313.0,57667.0,59403.0,37088.0,21573.0,10417.0,1501.0,89.0,867973342.5000001,255627,0.396406183407643
2018.0,강원,원주시,태양광,29481.07,286.0,344070.0,29037.0,37615.0,44367.0,45313.0,57667.0,59403.0,37088.0,21573.0,10417.0,1501.0,89.0,867973342.5000001,255627,0.396406183407643
2019.0,강원,원주시,바이오,1870.0,2.0,349215.0,28801.0,36767.0,45028.0,45276.0,57401.0,60168.0,41171.0,21514.0,11357.0,1626.0,106.0,867973342.5000001,255627,0.40233378480745213
2019.0,강원,원주시,태양광,43730.07,471.0,349215.0,28801.0,36767.0,45028.0,45276.0,57401.0,60168.0,41171.0,21514.0,11357.0,1626.0,106.0,867973342.5000001,255627,0.40233378480745213
2020.0,강원,원주시,바이오,1870.0,2.0,354376.0,28302.0,35918.0,45576.0,45323.0,57215.0,60829.0,45593.0,21636.0,12062.0,1810.0,112.0,867973342.5000001,255627,0.40827981995311097
2020.0,강원,원주시,태양광,60746.0,609.0,354376.0,28302.0,35918.0,45576.0,45323.0,57215.0,60829.0,45593.0,21636.0,12062.0,1810.0,112.0,867973342.5000001,255627,0.40827981995311097
2021.0,강원,원주시,바이오,1870.0,2.0,357757.0,27420.0,35362.0,44938.0,45429.0,56864.0,61255.0,50069.0,21409.0,12978.0,1978.0,55.0,867973342.5000001,255627,0.41217510087298553
2021.0,강원,원주시,태양광,71853.75,780.0,357757.0,27420.0,35362.0,44938.0,45429.0,56864.0,61255.0,50069.0,21409.0,12978.0,1978.0,55.0,867973342.5000001,255627,0.41217510087298553
2012.0,강원,인제군,태양광,156.32,3.0,32456.0,3122.0,3384.0,4325.0,4624.0,4655.0,5477.0,3052.0,2753.0,908.0,148.0,8.0,1645145634.9999998,111250,0.01972834459728546
2013.0,강원,인제군,태양광,156.32,3.0,32517.0,3103.0,3251.0,4134.0,4598.0,4661.0,5701.0,3111.0,2835.0,951.0,163.0,9.0,1645145634.9999998,111250,0.01976542338149899
2014.0,강원,인제군,태양광,1109.32,12.0,32475.0,3041.0,3129.0,4144.0,4517.0,4610.0,5697.0,3267.0,2893.0,985.0,185.0,7.0,1645145634.9999998,111250,0.01973989372679459
